#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 05 20 59 310  3.6 99.0 99.00 99.00 99.00 999 1019.9  11.4  12.5 999.0 99.0 99.00
2010 01 05 21 59 310  3.6 99.0 99.00 99.00 99.00 999 1019.1  11.1  12.5 999.0 99.0 99.00
2010 01 05 22 59 310  3.1 99.0 99.00 99.00 99.00 999 1018.9  11.6  12.6 999.0 99.0 99.00
2010 01 05 23 59 280  3.6 99.0 99.00 99.00 99.00 999 1019.0  11.6  12.8 999.0 99.0 99.00
2010 01 06 00 59 280  4.1 99.0 99.00 99.00 99.00 999 1019.2  11.4  12.7 999.0 99.0 99.00
2010 01 06 01 59 280  2.6 99.0 99.00 99.00 99.00 999 1019.3  11.4  12.6 999.0 99.0 99.00
2010 01 06 02 59 250  3.1 99.0 99.00 99.00 99.00 999 1019.9  11.5  12.8 999.0 99.0 99.00
2010 01 06 03 59 280  1.5 99.0 99.00 99.00 99.00 999 1020.3  11.6  12.9 999.0 99.0 99.00
2010 01 06 04 59  80  2.1 99.0 99.00 99.00 99.00 999 1020.3  11.4  12.8 999.0 99.0 99.00
2010 01 06 05 59  70  3.1 99.0 99.00 99.00 99.00 999 1020.0  11.5  12.8 999.0 99.0 99.00
2010 01 06 06 59  30  4.1 99.0 99.00 99.00 99.00 999 1020.3  11.4  12.7 999.0 99.0 99.00
2010 01 06 07 59 350  2.6 99.0 99.00 99.00 99.00 999 1020.2  11.2  12.7 999.0 99.0 99.00
2010 01 06 08 59 320  1.5 99.0 99.00 99.00 99.00 999 1020.3  11.1  12.6 999.0 99.0 99.00
2010 01 06 09 59  70  1.5 99.0 99.00 99.00 99.00 999 1020.0  11.2  12.7 999.0 99.0 99.00
2010 01 06 10 59  60  4.6 99.0 99.00 99.00 99.00 999 1019.7  10.9  12.7 999.0 99.0 99.00
2010 01 06 11 59  40  2.6 99.0 99.00 99.00 99.00 999 1019.9  10.3  12.7 999.0 99.0 99.00
2010 01 06 12 59  60  5.7 99.0 99.00 99.00 99.00 999 1019.7   9.7  12.7 999.0 99.0 99.00
2010 01 06 13 59  60  5.7 99.0 99.00 99.00 99.00 999 1019.7  10.5  12.6 999.0 99.0 99.00
2010 01 06 14 59  60  4.1 99.0 99.00 99.00 99.00 999 1020.4   9.8  12.8 999.0 99.0 99.00
2010 01 06 15 59  60  4.1 99.0 99.00 99.00 99.00 999 1020.8  10.0  12.9 999.0 99.0 99.00
2010 01 06 16 59  50  5.1 99.0 99.00 99.00 99.00 999 1021.0  10.0  12.9 999.0 99.0 99.00
2010 01 06 17 59  50  5.7 99.0 99.00 99.00 99.00 999 1021.3   9.7  13.0 999.0 99.0 99.00
2010 01 06 18 59  40  3.6 99.0 99.00 99.00 99.00 999 1021.0  10.4  12.9 999.0 99.0 99.00
2010 01 06 19 59 350  2.1 99.0 99.00 99.00 99.00 999 1019.9  10.6  12.9 999.0 99.0 99.00
2010 01 06 20 59  40  1.5 99.0 99.00 99.00 99.00 999 1018.9  11.2  12.9 999.0 99.0 99.00
2010 01 06 21 59  10  2.6 99.0 99.00 99.00 99.00 999 1018.0  11.8  12.9 999.0 99.0 99.00
2010 01 06 22 59 300  4.1 99.0 99.00 99.00 99.00 999 1017.7  11.6  12.8 999.0 99.0 99.00
2010 01 06 23 59 280  4.6 99.0 99.00 99.00 99.00 999 1018.1  11.7  12.4 999.0 99.0 99.00
2010 01 07 00 59 270  3.6 99.0 99.00 99.00 99.00 999 1017.6  11.7  12.4 999.0 99.0 99.00
2010 01 07 01 59 260  5.1 99.0 99.00 99.00 99.00 999 1017.9  11.7  12.6 999.0 99.0 99.00
2010 01 07 02 59 270  3.1 99.0 99.00 99.00 99.00 999 1018.3  11.8  12.9 999.0 99.0 99.00
2010 01 07 03 59 300  2.6 99.0 99.00 99.00 99.00 999 1018.6  11.7  12.9 999.0 99.0 99.00
2010 01 07 04 59 290  4.6 99.0 99.00 99.00 99.00 999 1019.0  11.5  12.9 999.0 99.0 99.00
2010 01 07 05 59 330  3.1 99.0 99.00 99.00 99.00 999 1019.1  11.6  12.9 999.0 99.0 99.00
2010 01 07 06 59  60  4.6 99.0 99.00 99.00 99.00 999 1018.5  11.6  12.9 999.0 99.0 99.00
2010 01 07 07 59  60  5.1 99.0 99.00 99.00 99.00 999 1018.5  11.4  12.9 999.0 99.0 99.00
2010 01 07 08 59  70  5.1 99.0 99.00 99.00 99.00 999 1017.8  11.1  12.8 999.0 99.0 99.00
2010 01 07 09 59  60  3.6 99.0 99.00 99.00 99.00 999 1017.9  11.0  12.8 999.0 99.0 99.00
2010 01 07 10 59  40  4.6 99.0 99.00 99.00 99.00 999 1017.9  11.0  12.8 999.0 99.0 99.00
2010 01 07 11 59  50  4.6 99.0 99.00 99.00 99.00 999 1017.6  10.9  12.6 999.0 99.0 99.00
2010 01 07 12 59  30  3.6 99.0 99.00 99.00 99.00 999 1017.8  10.6  12.9 999.0 99.0 99.00
2010 01 07 13 59  40  4.1 99.0 99.00 99.00 99.00 999 1017.8  10.2  12.4 999.0 99.0 99.00
2010 01 07 14 59  30  2.6 99.0 99.00 99.00 99.00 999 1018.7   9.6  12.9 999.0 99.0 99.00
2010 01 07 15 59 320  2.1 99.0 99.00 99.00 99.00 999 1019.5   9.9  12.9 999.0 99.0 99.00
2010 01 07 16 59  60  3.6 99.0 99.00 99.00 99.00 999 1019.5   9.9  12.9 999.0 99.0 99.00
2010 01 07 17 59  80  4.6 99.0 99.00 99.00 99.00 999 1019.6   9.6  12.9 999.0 99.0 99.00
2010 01 07 18 59  50  2.1 99.0 99.00 99.00 99.00 999 1019.9  10.4  12.9 999.0 99.0 99.00
2010 01 07 19 59  20  2.6 99.0 99.00 99.00 99.00 999 1018.7  10.9  12.7 999.0 99.0 99.00
2010 01 07 20 59  40  3.1 99.0 99.00 99.00 99.00 999 1017.1  11.8  12.8 999.0 99.0 99.00
2010 01 07 21 59  10  1.5 99.0 99.00 99.00 99.00 999 1016.7  12.9  12.8 999.0 99.0 99.00
2010 01 07 22 59 290  5.7 99.0 99.00 99.00 99.00 999 1016.8  12.0  12.4 999.0 99.0 99.00
2010 01 07 23 59 290  5.1 99.0 99.00 99.00 99.00 999 1017.1  11.8  12.7 999.0 99.0 99.00
2010 01 08 00 59 280  6.2 99.0 99.00 99.00 99.00 999 1017.4  11.7  12.7 999.0 99.0 99.00
2010 01 08 01 59 270  5.1 99.0 99.00 99.00 99.00 999 1017.9  11.7  12.5 999.0 99.0 99.00
2010 01 08 02 59 330  1.0 99.0 99.00 99.00 99.00 999 1018.0  11.6  12.7 999.0 99.0 99.00
2010 01 08 03 59 310  1.0 99.0 99.00 99.00 99.00 999 1018.4  11.6  12.8 999.0 99.0 99.00
