#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 21 15 999 99.0 99.0  0.96 11.76  7.78 347 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 21 45 999 99.0 99.0  1.07 11.76  8.90 347 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 22 15 999 99.0 99.0  0.98 11.76  8.93 349 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 03 22 45 999 99.0 99.0  0.92 11.76  9.28 350 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 23 15 999 99.0 99.0  0.93 11.76  9.45 347 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 03 23 45 999 99.0 99.0  0.84 11.11  9.01 346 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 04 00 15 999 99.0 99.0  0.86 11.76  9.24 344 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 04 00 45 999 99.0 99.0  0.86 11.76  9.27 346 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 04 01 15 999 99.0 99.0  0.94 10.53  9.53 344 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 04 01 45 999 99.0 99.0  0.84 10.53  9.35 342 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 04 02 15 999 99.0 99.0  0.77 10.53  9.39 344 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 04 02 45 999 99.0 99.0  0.85 11.11  9.60 347 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 04 03 15 999 99.0 99.0  0.75 11.11  9.49 342 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 04 03 45 999 99.0 99.0  0.74 11.11  9.42 343 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 04 04 15 999 99.0 99.0  0.79 11.76  9.89 347 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 04 04 45 999 99.0 99.0  0.69 10.53  9.40 343 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 05 15 999 99.0 99.0  0.72 10.53  9.37 342 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 05 45 999 99.0 99.0  0.80  9.88  9.38 340 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 06 15 999 99.0 99.0  0.79 10.53  8.92 342 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 06 45 999 99.0 99.0  0.78 10.53  8.30 346 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 07 15 999 99.0 99.0  0.79  9.88  8.26 339 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 07 45 999 99.0 99.0  0.76 11.11  8.61 344 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 08 15 999 99.0 99.0  0.84 10.53  8.94 344 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 08 45 999 99.0 99.0  0.66 10.53  8.34 342 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 09 15 999 99.0 99.0  0.66 13.33  8.90 350 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 09 45 999 99.0 99.0  0.66 11.11  8.80 349 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 10 15 999 99.0 99.0  0.67 10.53  8.96 340 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 04 10 45 999 99.0 99.0  0.59 11.11  8.62 346 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 04 11 15 999 99.0 99.0  0.62 10.53  8.55 349 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 04 11 45 999 99.0 99.0  0.61 11.11  8.64 347 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 04 12 15 999 99.0 99.0  0.57 10.53  8.91 342 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 12 45 999 99.0 99.0  0.52 12.50  8.19 346 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 04 13 15 999 99.0 99.0  0.59 11.11  7.97 347 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 04 13 45 999 99.0 99.0  0.58 12.50  7.66 350 9999.0 999.0  12.7 999.0 99.0 99.00
